Location,Sample,CaO,Na2O,MgO,Ce2O3,MnO,FeO,SrO,P2O5,SiO2,F,Cl,SO3,O=F,O=Cl,Total (anhydrous),Ca apfu,Na apfu,Mg apfu,Ce apfu,Mn apfu,Fe apfu,Sr apfu,Sum,P apfu,Si apfu,S apfu,Sum,F apfu,Cl apfu,est OH apfu,T
Red Chris,arc,54.2705,,,,0.122488,0.096716,,40.222,1.14762,2.35927,1.26902,0.411414,0.993,0.286,98.62,9.979,0,0,0,0.018,0.014,0,10.011,5.844,0.197,0.053,6.041,1.28,0.369,0.35,867.2050473
Red Chris,arc,54.1836,,,,0.129421,0.070841,,40.587,1.04085,2.26835,1.27258,0.221708,0.955,0.287,98.53,9.971,0,0,0,0.019,0.01,0,10,5.902,0.179,0.029,6.081,1.232,0.37,0.397,867.2050473
Red Chris,arc,54.9514,,,,0.076747,0.207757,,41.2855,0.340955,2.44367,1.36183,0.405204,1.029,0.307,99.74,9.998,0,0,0,0.011,0.03,0,10.038,5.936,0.058,0.052,5.993,1.312,0.392,0.296,867.2050473
Red Chris,arc,54.8146,,,,0.083776,0.140616,,41.0108,0.316259,2.46375,1.37213,0.33435,1.037,0.31,99.19,10.035,0,0,0,0.012,0.02,0,10.067,5.933,0.054,0.043,5.987,1.331,0.397,0.271,867.2050473
Red Chris,arc,54.8798,,,,0.082469,0.123686,,41.0974,0.329853,2.56573,1.36388,0.399574,1.08,0.308,99.45,10.01,0,0,0,0.012,0.018,0,10.039,5.923,0.056,0.051,5.979,1.381,0.394,0.225,867.2050473
Red Chris,arc,54.8312,,,,0.107373,0.097475,,40.9235,0.457054,2.31665,1.33329,0.462555,0.975,0.301,99.25,10.03,0,0,0,0.016,0.014,0,10.059,5.915,0.078,0.059,5.993,1.251,0.386,0.363,867.2050473
Red Chris,arc,55.1243,,,,0.070071,0.10866,,41.3229,0.380563,2.61805,1.40095,0.392253,1.102,0.316,100,9.994,0,0,0,0.01,0.015,0,10.02,5.92,0.064,0.05,5.985,1.401,0.402,0.197,867.2050473
Red Chris,arc,55.1665,,,,0.082084,0.159506,,41.4848,0.273613,2.72768,1.29863,0.239704,1.148,0.293,99.99,10.004,0,0,0,0.012,0.023,0,10.038,5.945,0.046,0.03,5.991,1.46,0.373,0.167,867.2050473
Red Chris,arc,54.8468,,,,0.126667,0.115389,,41.2875,0.195269,2.43415,1.32112,0.268432,1.025,0.298,99.27,10.031,0,0,0,0.018,0.016,0,10.065,5.967,0.033,0.034,6,1.314,0.382,0.304,867.2050473
Red Chris,arc,54.348,,,,0.106408,0.11704,,41.1066,0.602072,2.51984,1.27117,0.212942,1.061,0.287,98.94,9.949,0,0,0,0.015,0.017,0,9.981,5.946,0.103,0.027,6.049,1.362,0.368,0.27,867.2050473
Red Chris,arc,54.8537,,,,0.122503,0.067442,,41.0504,0.1511,2.63143,1.23746,0.167895,1.108,0.279,98.89,10.072,0,0,0,0.018,0.01,0,10.1,5.956,0.026,0.022,5.982,1.426,0.359,0.214,867.2050473
Red Chris,arc,54.9017,,,,0.172435,0.113435,,41.5439,0.147498,1.97297,1.74503,0.195745,0.831,0.394,99.57,10.04,0,0,0,0.025,0.016,0,10.081,6.003,0.025,0.025,6.029,1.065,0.505,0.43,867.2050473
Red Chris,arc,55.0216,,,,0.170382,0.082533,,41.219,0.10375,1.9451,1.78544,0.210181,0.819,0.403,99.32,10.105,0,0,0,0.025,0.012,0,10.142,5.982,0.018,0.027,6,1.054,0.519,0.427,867.2050473
Red Chris,arc,54.8302,,,,0.185246,0.097741,,41.3773,0.097625,1.93618,1.72362,0.218129,0.815,0.389,99.26,10.064,0,0,0,0.027,0.014,0,10.105,6.001,0.017,0.028,6.018,1.049,0.5,0.451,867.2050473
Red Chris,arc,55.1091,,,,0.178797,0.08832,,41.5039,0.090774,1.95254,1.79498,0.228846,0.822,0.405,99.72,10.072,0,0,0,0.026,0.013,0,10.11,5.994,0.015,0.029,6.009,1.053,0.519,0.428,867.2050473
Red Chris,arc,54.8118,,,,0.180948,0.108257,,41.601,0.116065,1.86383,1.79399,0.275803,0.785,0.405,99.56,10.023,0,0,0,0.026,0.015,0,10.064,6.011,0.02,0.035,6.031,1.006,0.519,0.475,867.2050473
Red Chris,arc,54.7946,,,,0.172051,0.119177,,41.1998,0.173378,2.00667,1.80382,0.327207,0.845,0.407,99.34,10.046,0,0,0,0.025,0.017,0,10.088,5.969,0.03,0.042,5.998,1.086,0.523,0.391,867.2050473
Red Chris,arc,54.6306,,,,0.093902,0.10115,,41.6298,0.169726,2.34196,1.37429,0.110339,0.986,0.31,99.16,9.995,0,0,0,0.014,0.014,0,10.023,6.018,0.029,0.014,6.047,1.265,0.398,0.338,867.2050473
Red Chris,arc,54.2072,,,,0.195268,0.439405,,40.3025,0.071126,2.52307,0.712322,0.193055,1.062,0.161,97.42,10.129,0,0,0,0.029,0.064,0,10.222,5.951,0.012,0.025,5.963,1.392,0.211,0.398,867.2050473
Red Chris,arc,54.03,,,,0.20219,0.317519,,40.6439,0.080281,2.34074,0.706794,0.24982,0.986,0.16,97.43,10.076,0,0,0,0.03,0.046,0,10.152,5.989,0.014,0.033,6.003,1.288,0.209,0.503,867.2050473
Red Chris,arc,54.1038,,,,0.209493,0.298554,,40.5586,0.155866,2.37309,0.713595,0.366913,0.999,0.161,97.62,10.066,0,0,0,0.031,0.043,0,10.14,5.962,0.027,0.048,5.99,1.303,0.21,0.487,867.2050473
Red Chris,arc,54.1102,,,,0.21181,0.376597,,41.0518,0.16388,2.57044,0.686305,0.245564,1.082,0.155,98.18,9.99,0,0,0,0.031,0.054,0,10.075,5.989,0.028,0.032,6.017,1.401,0.2,0.399,867.2050473
Red Chris,arc,54.1531,,,,0.209327,0.426856,,40.8304,0.112621,2.43876,0.728276,0.230689,1.027,0.164,97.94,10.044,0,0,0,0.031,0.062,0,10.136,5.984,0.019,0.03,6.004,1.335,0.214,0.451,867.2050473
Red Chris,arc,53.7227,,,,0.184334,0.696047,,40.9284,0.126872,2.64667,0.768056,0.181631,1.114,0.173,97.97,9.949,0,0,0,0.027,0.101,0,10.076,5.989,0.022,0.024,6.011,1.447,0.225,0.328,867.2050473
Red Chris,arc,54.5661,,,,0.203252,0.32564,,40.63,0.076556,2.53876,0.830244,0.220561,1.069,0.187,98.13,10.115,0,0,0,0.03,0.047,0,10.192,5.952,0.013,0.029,5.965,1.389,0.243,0.367,867.2050473
