col P_MPa,col Absolute error_P_MPa,col T,col Absolute error_T
2.098643064,0.33578289,776.9108777,28
2.173927944,0.347828471,773.4385825,28
1.960214982,0.313634397,765.4301201,28
1.921819979,0.307491197,769.5906368,28
1.279165281,0.204666445,735.2788384,28
1.544698052,0.247151688,752.4711313,28
2.22750855,0.356401368,782.6483265,28
2.208670076,0.353387212,782.206819,28
2.299887603,0.367982016,783.3484072,28
2.071391884,0.331422702,772.7281752,28
2.216423246,0.354627719,775.7809398,28
1.329281027,0.212684964,736.5271021,28
1.197865026,0.191658404,727.866865,28
1.909637766,0.305542043,765.0197454,28
1.532239314,0.24515829,738.223476,28
1.295405442,0.207264871,732.154934,28
1.378024437,0.22048391,740.0817857,28
1.298310399,0.207729664,729.2785835,28
1.353456893,0.216553103,725.6387751,28
2.099592392,0.335934783,779.2580444,28
1.947379403,0.311580704,768.0835635,28
1.27027057,0.203243291,720.7928939,28
1.167068598,0.186730976,719.1838109,28
2.079583358,0.332733337,776.3996882,28
2.099821459,0.335971433,772.8212904,28
2.054175851,0.328668136,770.4513753,28
2.026859226,0.324297476,771.9415138,28
2.06594511,0.330551218,768.3141466,28
1.271055064,0.20336881,725.4009984,28
2.009392152,0.321502744,774.4930978,28
1.884657295,0.301545167,773.9185965,28
1.750671557,0.280107449,763.629024,28
1.908840859,0.305414537,773.0074067,28
1.874192009,0.299870722,765.585592,28
2.141681348,0.342669016,776.0775188,28
1.855053908,0.296808625,762.1179608,28
2.204128189,0.35266051,786.8332809,28
2.100335617,0.336053699,781.4705451,28
1.636766701,0.261882672,756.6308869,28
2.029725369,0.324756059,770.8034303,28
2.237592019,0.358014723,779.6397993,28
1.928797406,0.308607585,771.0904697,28
1.81086722,0.289738755,760.0382373,28
2.121997355,0.339519577,789.412004,28
1.666441442,0.266630631,758.9963921,28
2.003145768,0.320503323,775.3826765,28
1.888430565,0.30214889,777.035351,28
1.823285046,0.291725607,763.3179667,28
1.917933423,0.306869348,768.2184214,28
1.79354265,0.286966824,760.699496,28
1.786723062,0.28587569,763.8720182,28
1.833831076,0.293412972,766.3241198,28
2.082346773,0.333175484,774.67641,28
2.25203439,0.360325502,790.8961013,28
1.779896009,0.284783361,766.3698003,28
1.868028754,0.298884601,765.2682844,28
2.023303597,0.323728575,771.0781128,28
2.042478372,0.32679654,780.8604629,28
1.758003092,0.281280495,768.8906856,28
1.936335042,0.309813607,777.8971201,28
2.123975202,0.339836032,775.9939122,28
2.064258474,0.330281356,787.7814209,28
1.676262702,0.268202032,775.1151815,28
1.690142107,0.270422737,768.1362758,28
1.63410722,0.261457155,764.1345646,28
1.9856169,0.317698704,777.5679591,28
2.192243988,0.350759038,789.6776874,28
1.902188624,0.30435018,779.2972999,28
1.869276045,0.299084167,767.289944,28
1.728664222,0.276586275,774.4175943,28
1.676682265,0.268269162,776.1092251,28
1.520804204,0.243328673,766.9477213,28
1.675063848,0.268010216,771.6134408,28
1.690572012,0.270491522,774.8323766,28
1.566187396,0.250589983,764.0930507,28
1.670130689,0.26722091,779.5093758,28
1.941408882,0.310625421,783.4748036,28
1.729490838,0.276718534,774.8836551,28
1.809157421,0.289465187,779.3173714,28
1.832957903,0.293273264,792.4057397,28
1.755612315,0.28089797,770.5555889,28
1.693461726,0.270953876,779.8982365,28
1.873064856,0.299690377,783.2551597,28
1.703014366,0.272482299,775.2072462,28
1.740794968,0.278527195,782.3503237,28
1.558481059,0.249356969,769.0512902,28
1.562894968,0.250063195,772.7424801,28
1.596132979,0.255381277,772.3603034,28
1.545916321,0.247346611,769.5919661,28
2.440909012,0.390545442,788.3051414,28
2.181471578,0.349035452,788.6752582,28
2.196872,0.35149952,801.6734845,28
2.350215341,0.376034455,785.1448433,28
2.405358688,0.38485739,795.5451553,28
2.673306262,0.427729002,791.1110682,28
2.266769459,0.362683113,784.4818366,28
2.863803035,0.458208486,807.0902002,28
2.630332943,0.420853271,805.5645233,28
2.602307931,0.416369269,800.470501,28
1.873257057,0.299721129,775.134056,28
2.162523121,0.346003699,786.3682424,28
2.734802726,0.437568436,795.5037353,28
2.393601522,0.382976244,787.1400801,28
2.064276747,0.33028428,768.6919878,28
3.276858531,0.524297365,819.8465149,28
2.631544756,0.421047161,798.2414916,28
2.694102859,0.431056457,787.9802223,28
3.067964478,0.490874317,815.1830543,28
2.095569859,0.335291177,774.7813848,28
2.747661902,0.439625904,797.1283162,28
2.276881592,0.364301055,784.9160751,28
2.343600977,0.374976156,789.1268366,28
3.216462416,0.514633987,815.1430835,28
2.428744898,0.388599184,776.7854407,28
1.814042264,0.290246762,781.5540076,28
1.744848974,0.279175836,772.7995949,28
1.879497981,0.300719677,785.3008016,28
1.667546505,0.266807441,778.4541641,28
1.678159114,0.268505458,778.5439443,28
1.529584455,0.244733513,755.9042954,28
1.540967401,0.246554784,758.0495352,28
1.622923905,0.259667825,776.5693427,28
1.653451507,0.264552241,776.3206338,28
1.368899899,0.219023984,753.5643508,28
1.731502375,0.27704038,786.6913749,28
0.780709404,0.124913505,700.2628007,28
2.466569939,0.39465119,790.3300567,28
2.548667993,0.407786879,794.9783069,28
1.046995119,0.167519219,727.4762583,28
1.20299894,0.19247983,733.0115726,28
1.223561816,0.195769891,735.4910271,28
1.229363757,0.196698201,739.1854606,28
1.252927976,0.200468476,737.5129533,28
1.186132173,0.189781148,730.1294476,28
1.87868688,0.300589901,769.0501662,28
1.117884314,0.17886149,725.3886598,28
1.502047183,0.240327549,747.4432545,28
1.287800842,0.206048135,732.9733243,28
1.74696288,0.279514061,763.7784924,28
1.474301125,0.23588818,749.6846954,28
1.23022293,0.196835669,729.1290512,28
1.044219732,0.167075157,720.7824808,28
1.322957354,0.211673177,742.6093265,28
0.889477699,0.142316432,706.3954724,28
0.982578451,0.157212552,718.6613639,28
0.730583085,0.116893294,660.1546633,28
0.946204776,0.151392764,690.4914908,28
1.030940027,0.164950404,708.6547127,28
0.87099129,0.139358606,679.6190951,28
1.041032811,0.16656525,692.6532209,28
1.040933899,0.166549424,692.3286507,28
0.805012981,0.128802077,688.7523561,28
0.946204776,0.151392764,690.4914908,28
0.730547426,0.116887588,660.1117178,28
1.377570972,0.220411355,715.6808197,28
1.043990856,0.167038537,693.9435494,28
0.87093087,0.139348939,679.5733641,28
0.876216502,0.14019464,684.9895627,28
0.804964436,0.12879431,688.7058208,28
0.948270107,0.151723217,719.0256265,28
0.793680296,0.126988847,715.263036,28
1.227025056,0.196324009,755.6658078,28
1.521535338,0.243445654,770.8031486,28
1.20968383,0.193549413,754.6153964,28
1.002333484,0.160373358,736.3091718,28
1.823540029,0.291766405,766.4235007,28
1.648023597,0.263683776,756.1556273,28
1.635659399,0.261705504,753.9360143,28
1.719069244,0.275051079,755.3400338,28
1.632340643,0.261174503,752.2069625,28
1.527768134,0.244442901,758.5539196,28
1.44400287,0.231040459,760.2542638,28
1.39675549,0.223480878,778.9207447,28
1.438983903,0.230237424,766.5932405,28
1.522787527,0.243646004,787.6971615,28
2.35009721,0.376015554,802.0092997,28
1.182812334,0.189249973,730.3314399,28
0.79231238,0.126769981,711.5473136,28
2.765129645,0.442420743,793.0210711,28
2.333143675,0.373302988,777.3841562,28
3.267761417,0.522841827,811.4512729,28
