MgO,Pd,Pd/Pt,MSS Cu,Fluid Cu
0.127801518,0.493353957,0.622122463,0.985063402,0.014588304
0.127808328,0.002905713,0.083451529,0.998476598,0.001489089
0.127809234,0.808092007,2.18256245,0.967892848,3.07E-02
0.12781453,0.006779627,0.605004339,0.999285248,6.38E-04
0.127816383,0.001443721,0.130986287,0.999484106,0.00051811
0.127853644,0.003475783,0.081313622,0.996700684,0.003224499
0.12786152,0.000289339,0.042898407,0.998523991,0.001493923
0.127866807,0.00031864,0.002225618,0.99943692,0.00057707
0.127868,0.00494125,0.946428099,0.99984465,0.000166315
0.127868053,0.007542558,0.020888102,0.999056714,0.000824147
0.127875502,0.426262682,0.710869527,0.977043552,0.022709195
0.127878644,0.005801839,0.213717761,0.997412586,0.002535904
0.127880854,0.760601962,1.506637528,0.986295746,1.35E-02
0.127885998,0.241350353,0.604464745,0.930039784,0.068646158
0.127896405,0.000868144,0.119406537,0.998724459,0.001289006
0.127900476,0.702601556,1.240971604,0.99782055,0.00187453
0.127904712,0.147613562,1.316809027,0.972471954,2.67E-02
0.127907065,0.000779232,0.166847285,0.999442651,0.000568515
0.127909182,0.000473142,0.008411084,0.998112177,0.001889058
0.127909289,1.792792561,4.380372774,0.989972686,0.009499303
0.127917148,0.366428066,2.027301164,0.997689035,0.002240957
0.12792811,0.000731187,0.071386215,0.999594694,0.000408952
0.1279308,0.008560521,0.081082552,0.998229039,0.001663781
0.127931126,0.000846697,0.088047986,0.998996988,0.001025304
0.127938616,0.022300268,1.641613303,0.998064583,0.001918405
0.127952159,0.270446375,0.539957271,0.992886662,0.006595471
0.127954575,0.001256362,0.089402081,0.999507907,0.000503784
0.127960972,0.000733936,0.121630811,0.999403819,0.000608286
0.127999718,1.604549571,3.239297229,0.991012245,0.008372538
0.128001728,0.010697693,0.427694374,0.998568878,0.001389622
0.12800492,0.001964441,0.060289621,0.992680446,0.007296777
0.128018869,0.51125176,1.503459942,0.997806794,0.002041488
0.128024762,2.240107687,3.519656844,0.975718706,0.024137798
0.128038163,0.044567631,0.032416613,0.982973356,0.015070455
0.128055764,2.507478231,1.380228681,0.985342194,0.014471093
0.128059765,0.00061803,0.070395942,0.99956801,0.000440046
0.128061146,1.388258301,3.119011581,0.984015657,0.015889419
0.128061582,0.00943251,0.129754861,0.983637915,0.016304554
0.128061604,0.006575391,0.722198458,0.999627324,0.00038089
0.128064968,0.001974045,0.253884087,0.99946908,0.000536211
0.128067601,1.756952254,1.594799551,0.992984617,0.006553579
0.128080228,0.009067515,1.265447842,0.999275725,0.000733636
0.128081397,0.317746367,0.760612457,0.957118083,0.042173875
0.128084613,0.034134131,0.12622358,0.944414818,0.055342293
0.128088751,0.455335909,1.819672823,0.990662672,0.009154788
0.12809503,1.325948725,1.531958496,0.990005289,0.009791898
0.128098985,1.523251573,1.165469031,0.994553206,0.005117636
0.128106999,0.001491053,0.026897343,0.998323621,1.67E-03
0.128109208,0.006219846,0.057882266,0.997233127,0.002748768
0.128127412,1.100239789,2.640989635,0.998272084,0.001595309
0.12813087,0.003704562,0.010028128,0.998244667,0.001715617
0.128137844,0.005021977,0.190248989,0.999800788,0.000175653
0.128144754,0.143055044,0.227733218,0.936476482,0.061703147
0.128170764,0.035715939,3.575998623,0.999769343,0.000246106
0.128185105,1.180240107,2.046913645,0.992910636,0.006860897
0.128188725,0.005284916,1.206591436,0.997727153,0.002291353
0.128200165,0.013271968,0.1509058,0.981681488,0.017701468
0.128202544,0.05671707,0.075105981,0.98208336,0.015971758
0.12820833,0.000263112,0.100955199,0.99934758,0.000667951
0.128208689,0.034328739,0.117028595,0.973381896,0.026289465
0.128209052,0.058855114,0.11391136,0.976899159,0.020948106
