arc P_MPa,arc Absolute error_P_MPa,arc T,arc Absolute error_T,,,,
3.147925705,0.503668113,827.088848,28,,,,
4.380349079,0.700855853,871.8118204,28,,,,
3.099627279,0.495940365,842.4678258,28,,,,
3.669245553,0.587079289,844.4485831,28,,,,
6.303497173,1.008559548,900.2168733,28,,,,
5.036164498,0.80578632,876.7775469,28,,,,
5.227779728,0.836444756,879.9081621,28,,,,
4.601172387,0.736187582,866.7824879,28,,,,
6.112300379,0.977968061,895.9419655,28,,,,
4.318610415,0.690977666,851.6272436,28,,,,
4.8997466,0.783959456,835.0494163,28,,,,
4.129578578,0.660732572,822.5651656,28,,,,
5.426848677,0.868295788,848.2515339,28,,,,
4.136886826,0.661901892,808.2648081,28,,,,
4.239884998,0.6783816,831.7027747,28,,,,
4.2026698,0.672427168,822.1216001,28,,,,
4.191368194,0.670618911,830.6807332,28,,,,
4.125293844,0.660047015,814.8893501,28,,,,
4.496740041,0.719478407,826.4402372,28,,,,
6.173733659,0.987797385,853.9416745,28,,,,
5.632916241,0.901266599,840.9480712,28,,,,
5.006624362,0.801059898,842.6053941,28,,,,
4.19617231,0.67138757,827.5199222,28,,,,
4.263299642,0.682127943,836.9119553,28,,,,
4.015722931,0.642515669,825.4001633,28,,,,
4.073826432,0.651812229,815.2560083,28,,,,
4.265709641,0.682513542,826.2420858,28,,,,
6.438540577,1.030166492,900.4511139,28,,,,
5.353264088,0.856522254,892.8382907,28,,,,
6.804971616,1.088795459,920.2455757,28,,,,
3.73755849,0.598009358,823.9055254,28,,,,
3.400698312,0.54411173,817.3982712,28,,,,
4.110984921,0.657757587,844.9743403,28,,,,
4.632382526,0.741181204,836.8735924,28,,,,
4.218763294,0.675002127,826.7829348,28,,,,
3.890971819,0.622555491,827.4069866,28,,,,
6.129169171,0.980667067,857.4814478,28,,,,
5.036074874,0.80577198,847.2943336,28,,,,
5.038397936,0.80614367,851.2028995,28,,,,
4.10371636,0.656594618,826.3948427,28,,,,
3.888228028,0.622116484,836.32753,28,,,,
4.312285879,0.689965741,828.6845644,28,,,,
3.438990412,0.550238466,841.1784485,28,,,,
3.561347201,0.569815552,833.6697717,28,,,,
5.343844396,0.855015103,864.0087798,28,,,,
5.866299988,0.938607998,866.0405131,28,,,,
4.179010334,0.668641653,827.1158814,28,,,,
4.150470217,0.664075235,831.9509652,28,,,,
4.632338297,0.741174127,847.4925982,28,,,,
4.36580507,0.698528811,830.648538,28,,,,
3.99595259,0.639352414,826.8349194,28,,,,
4.956358615,0.793017378,848.4531627,28,,,,
3.949814573,0.631970332,826.2008658,28,,,,
5.132911753,0.82126588,865.1280549,28,,,,
3.931716891,0.629074703,818.3390057,28,,,,
4.13632008,0.661811213,823.6818337,28,,,,
3.94900657,0.631841051,816.5822004,28,,,,
3.984966371,0.637594619,820.4186483,28,,,,
2.538215162,0.406114426,785.5872549,28,,,,
2.687775312,0.43004405,785.9088433,28,,,,
2.805267984,0.448842877,785.5463669,28,,,,
3.670525062,0.58728401,816.7655879,28,,,,
3.317169491,0.530747119,804.4926394,28,,,,
4.091884411,0.654701506,825.8221539,28,,,,
3.059869671,0.489579147,791.6337017,28,,,,
3.904730976,0.624756956,822.9435067,28,,,,
3.476135838,0.556181734,817.3745314,28,,,,
3.137763439,0.50204215,804.6139236,28,,,,
2.694173956,0.431067833,796.1943502,28,,,,
2.607042542,0.417126807,797.2376057,28,,,,
2.769555998,0.44312896,798.3248791,28,,,,
2.694295664,0.431087306,791.8930805,28,,,,
2.961410039,0.473825606,808.7918039,28,,,,
3.292285638,0.526765702,805.473783,28,,,,
3.451130808,0.552180929,810.7401072,28,,,,
3.409604134,0.545536661,807.7881422,28,,,,
2.749228755,0.439876601,784.637898,28,,,,
2.619135226,0.419061636,801.8410021,28,,,,
2.205384199,0.352861472,781.4440831,28,,,,
2.618419597,0.418947135,789.4776594,28,,,,
2.621919095,0.419507055,790.5812967,28,,,,
2.633740001,0.4213984,802.0027002,28,,,,
2.774818741,0.443970999,787.4636445,28,,,,
1.804713855,0.288754217,792.3041421,28,,,,
1.766331939,0.28261311,800.8324346,28,,,,
2.717277304,0.434764369,800.9731545,28,,,,
2.901992717,0.464318835,807.3801631,28,,,,
1.79922277,0.287875643,797.2304327,28,,,,
3.661373005,0.585819681,825.460257,28,,,,
3.073216519,0.491714643,807.5242719,28,,,,
2.756379682,0.441020749,796.1846626,28,,,,
3.01688333,0.482701333,819.2318084,28,,,,
2.505631951,0.400901112,789.6820645,28,,,,
2.258743652,0.361398984,783.9296697,28,,,,
2.934370937,0.46949935,822.2422651,28,,,,
2.892039089,0.462726254,803.4779534,28,,,,
3.326256546,0.532201047,818.2835771,28,,,,
3.622980424,0.579676868,818.4158168,28,,,,
3.637480134,0.581996821,811.5166555,28,,,,
3.212737661,0.514038026,801.3362281,28,,,,
3.357592201,0.537214752,805.2067712,28,,,,
4.213299276,0.674127884,855.9303603,28,,,,
4.048171526,0.647707444,852.4532086,28,,,,
3.960857546,0.633737207,842.8741317,28,,,,
4.229994317,0.676799091,859.4975019,28,,,,
4.121491809,0.659438689,856.8555161,28,,,,
4.512350395,0.721976063,856.3684079,28,,,,
4.500861026,0.720137764,852.0411711,28,,,,
4.223799158,0.675807865,859.4360203,28,,,,
3.678891193,0.588622591,839.2700368,28,,,,
4.386464956,0.701834393,858.0542974,28,,,,
3.114322572,0.498291611,802.2268448,28,,,,
3.772714145,0.603634263,816.3636749,28,,,,
3.775178706,0.604028593,817.1196639,28,,,,
4.348479739,0.695756758,837.2757448,28,,,,
3.322645324,0.531623252,790.9835314,28,,,,
3.888198168,0.622111707,810.8188634,28,,,,
3.830957114,0.612953138,811.8070448,28,,,,
3.903899937,0.62462399,823.1155185,28,,,,
2.577506341,0.412401015,774.5507626,28,,,,
4.055163162,0.648826106,861.3224778,28,,,,
4.235741173,0.677718588,871.9568839,28,,,,
4.232525007,0.677204001,860.8109882,28,,,,
4.082099098,0.653135856,863.7394197,28,,,,
5.062408756,0.809985401,904.5103608,28,,,,
5.116089379,0.818574301,912.6298032,28,,,,
5.140200223,0.822432036,913.1845854,28,,,,
5.748158901,0.919705424,927.1592665,28,,,,
2.520416165,0.403266586,781.9576165,28,,,,
3.480174731,0.556827957,812.1807857,28,,,,
3.219579198,0.515132672,789.5472193,28,,,,
2.449895018,0.391983203,780.8448504,28,,,,
3.295912287,0.527345966,817.6443294,28,,,,
3.729517307,0.596722769,811.2926936,28,,,,
2.784761881,0.445561901,790.209133,28,,,,
2.70245926,0.432393482,795.12232,28,,,,
2.725090312,0.43601445,795.6343913,28,,,,
3.499424637,0.559907942,797.1269188,28,,,,
1.934987198,0.309597952,763.6606315,28,,,,
3.294479565,0.52711673,809.521261,28,,,,
2.496226162,0.399396186,770.6304801,28,,,,
2.478368702,0.396538992,784.7464068,28,,,,
2.766468798,0.442635008,776.6726821,28,,,,
2.24326252,0.358922003,774.824245,28,,,,
2.919423228,0.467107717,798.6935125,28,,,,
2.606082486,0.416973198,790.6786585,28,,,,
3.361170249,0.53778724,806.4468515,28,,,,
2.209917087,0.353586734,783.5219284,28,,,,
2.349363363,0.375898138,788.8118151,28,,,,
3.600321716,0.576051474,832.5216493,28,,,,
3.666106123,0.58657698,831.5138542,28,,,,
3.511681316,0.561869011,819.5012992,28,,,,
3.692838773,0.590854204,831.2825956,28,,,,
1.509567432,0.241530789,764.6318507,28,,,,
1.302688402,0.208430144,747.9483148,28,,,,
1.294084622,0.20705354,750.1023378,28,,,,
1.487212071,0.237953931,731.4456141,28,,,,
1.671130713,0.267380914,762.6075911,28,,,,
1.315334761,0.210453562,748.6395319,28,,,,
3.488428222,0.558148516,805.4152611,28,,,,
3.146495216,0.503439235,802.3998526,28,,,,
1.224472766,0.195915643,749.6919026,28,,,,
1.151165098,0.184186416,757.543319,28,,,,
1.214616425,0.194338628,748.7124558,28,,,,
2.931635618,0.469061699,819.8438808,28,,,,
1.104666502,0.17674664,723.8741953,28,,,,
2.912653542,0.466024567,807.901966,28,,,,
2.220999929,0.355359989,789.1668401,28,,,,
0.993151096,0.158904175,727.9126553,28,,,,
1.052561425,0.168409828,743.1072458,28,,,,
1.131632864,0.181061258,743.6500891,28,,,,
0.99348373,0.158957397,730.4711016,28,,,,
0.975813086,0.156130094,732.7632854,28,,,,
0.972717581,0.155634813,727.6434422,28,,,,
2.90912144,0.46545943,829.9386012,28,,,,
3.320501326,0.531280212,812.1226422,28,,,,
2.66727051,0.426763282,796.7722553,28,,,,
2.951226384,0.472196221,805.1766807,28,,,,
2.565996484,0.410559437,789.8371381,28,,,,
2.854899895,0.456783983,805.1670346,28,,,,
2.069244774,0.331079164,783.4702032,28,,,,
2.405627132,0.384900341,791.4898709,28,,,,
2.673088952,0.427694232,799.2159893,28,,,,
2.701414676,0.432226348,802.3645849,28,,,,
2.835893629,0.453742981,809.2059597,28,,,,
2.855011311,0.45680181,804.4273607,28,,,,
1.079155036,0.172664806,745.8751717,28,,,,
2.698496743,0.431759479,797.5876092,28,,,,
3.335670103,0.533707216,819.8014829,28,,,,
3.092175897,0.494748144,813.7818187,28,,,,
2.815024837,0.450403974,806.8476866,28,,,,
2.581392216,0.413022755,789.9054787,28,,,,
2.824591698,0.451934672,811.2233648,28,,,,
3.011684736,0.481869558,813.4165988,28,,,,
2.974242893,0.475878863,812.5829932,28,,,,
2.610914159,0.417746265,795.7760299,28,,,,
2.872854918,0.459656787,803.4053168,28,,,,
2.948522649,0.471763624,803.6230633,28,,,,
2.445100576,0.391216092,787.5438181,28,,,,
2.999457045,0.479913127,805.9749958,28,,,,
2.729679927,0.436748788,790.3040158,28,,,,
2.857622159,0.457219545,809.5972857,28,,,,
2.643999239,0.423039878,808.5707952,28,,,,
2.921526138,0.467444182,808.8046995,28,,,,
2.71308117,0.434092987,804.7775031,28,,,,
2.239096748,0.35825548,779.1970254,28,,,,
2.999515811,0.47992253,812.2795581,28,,,,
