T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1051.37,10.001,2.4248,3.6334,37.14245378,0
1048.13,9.901,2.4226,3.6552,36.78519411,0.0218
1047.18,9.801,2.4216,3.6596,36.42785784,0.0262
1046.27,9.701,2.4264,3.6529,36.07045713,0.0195
1045.84,9.601,2.4246,3.6554,35.71299773,0.022
1045.35,9.501,2.4227,3.6584,35.35548323,0.025
1044.9,9.401,2.4209,3.6612,34.99790087,0.0278
1044.45,9.301,2.4191,3.6639,34.6400101,0.0305
1044,9.201,2.4172,3.6667,34.28198986,0.0333
1043.55,9.101,2.4154,3.6694,33.92387497,0.036
1043.1,9.001,2.4136,3.6721,33.56566629,0.0387
1042.65,8.901,2.4117,3.6749,33.20736439,0.0415
1042.21,8.801,2.4099,3.6776,32.8489692,0.0442
1041.76,8.701,2.4081,3.6813,32.49048065,0.0479
1041.31,8.601,2.4064,3.6863,32.13189865,0.0529
1040.86,8.501,2.4047,3.6913,31.77317608,0.0579
1040.42,8.401,2.403,3.6963,31.41431898,0.0629
1039.97,8.301,2.4013,3.7014,31.05534781,0.068
1039.53,8.201,2.3996,3.7064,30.69626246,0.073
1039.08,8.101,2.3979,3.7114,30.33706318,0.078
1038.64,8.001,2.3962,3.7164,29.97757021,0.083
1038.2,7.901,2.3945,3.7214,29.61748656,0.088
1037.75,7.801,2.3928,3.7263,29.25721633,0.0929
1037.31,7.701,2.3911,3.7313,28.89680166,0.0979
1036.87,7.601,2.3894,3.7363,28.53624238,0.1029
1036.43,7.501,2.3877,3.7413,28.17553831,0.1079
1035.99,7.401,2.386,3.7463,27.81469491,0.1129
1035.55,7.301,2.3843,3.7513,27.45371916,0.1179
1035.12,7.201,2.3826,3.7563,27.09260567,0.1229
1034.68,7.101,2.3809,3.7613,26.73134744,0.1279
1034.24,7.001,2.3792,3.7663,26.36993663,0.1329
1033.81,6.901,2.3775,3.7713,26.00837263,0.1379
1033.37,6.801,2.3758,3.7763,25.64665392,0.1429
1032.94,6.701,2.3741,3.7813,25.28477722,0.1479
1032.51,6.601,2.3724,3.7863,24.92273962,0.1529
1032.07,6.501,2.3707,3.7913,24.56054217,0.1579
1031.64,6.401,2.3691,3.7964,24.19818932,0.163
1031.21,6.301,2.3674,3.8014,23.83539377,0.168
1030.78,6.201,2.3657,3.8065,23.47203922,0.1731
1030.34,6.101,2.364,3.8116,23.10847978,0.1782
1029.91,6.001,2.3623,3.8167,22.7447151,0.1833
1029.48,5.901,2.3606,3.8218,22.38074499,0.1884
1029.05,5.801,2.359,3.8269,22.01657131,0.1935
1028.63,5.701,2.3573,3.8321,21.65220047,0.1987
1028.2,5.601,2.3556,3.8372,21.28763109,0.2038
1027.77,5.501,2.3539,3.8424,20.9228612,0.209
1027.34,5.401,2.3523,3.8477,20.55789757,0.2143
1026.91,5.301,2.3506,3.8529,20.19266805,0.2195
1026.49,5.201,2.3489,3.8582,19.82709759,0.2248
1026.06,5.101,2.3473,3.8635,19.46119884,0.2301
1025.63,5.001,2.3456,3.8689,19.09490937,0.2355
1025.2,4.901,2.344,3.8743,18.72838478,0.2409
1024.78,4.801,2.3423,3.8797,18.36162428,0.2463
1024.35,4.701,2.3407,3.8852,17.99462578,0.2518
1023.93,4.601,2.3391,3.8908,17.62738498,0.2574
1023.5,4.501,2.3374,3.8963,17.2598752,0.2629
1023.07,4.401,2.3358,3.902,16.89209311,0.2686
1022.65,4.301,2.3342,3.9077,16.5240471,0.2743
1022.22,4.201,2.3326,3.9135,16.15572797,0.2801
1021.8,4.101,2.3309,3.9194,15.7871011,0.286
1021.37,4.001,2.3293,3.9253,15.41814572,0.2919
1020.94,3.901,2.3278,3.9314,15.04890253,0.298
1020.52,3.801,2.3262,3.9375,14.67931009,0.3041
1020.09,3.701,2.3246,3.9438,14.30938347,0.3104
1019.66,3.601,2.323,3.9502,13.93912869,0.3168
1019.24,3.501,2.3215,3.9567,13.56854881,0.3233
1018.81,3.401,2.32,3.9633,13.1976451,0.3299
1018.38,3.301,2.3184,3.9702,12.82641381,0.3368
1017.95,3.201,2.3169,3.9772,12.45481982,0.3438
1017.51,3.101,2.3154,3.9844,12.08283227,0.351
1017.08,3.001,2.314,3.9919,11.7104499,0.3585
1016.65,2.901,2.3125,3.9996,11.33764139,0.3662
1016.21,2.801,2.3111,4.0077,10.96436421,0.3743
1015.77,2.701,2.3098,4.016,10.59045434,0.3826
1015.33,2.601,2.3084,4.0248,10.21593971,0.3914
1014.89,2.501,2.3071,4.034,9.840811396,0.4006
1014.44,2.401,2.3058,4.0438,9.465069146,0.4104
1013.98,2.301,2.3046,4.0542,9.088722831,0.4208
1013.53,2.201,2.3035,4.0653,8.711773465,0.4319
1013.06,2.101,2.3024,4.0773,8.334219546,0.4439
1012.59,2.001,2.3015,4.0903,7.956048906,0.4569
1012.08,1.901,2.3007,4.1053,7.577085837,0.4719
1011.57,1.801,2.3,4.1219,7.197192199,0.4885
1011.03,1.701,2.2995,4.1405,6.816344948,0.5071
1010.47,1.601,2.2992,4.1616,6.434334626,0.5282
1009.89,1.501,2.2992,4.1858,6.050809826,0.5524
1009.28,1.401,2.2996,4.214,5.665558941,0.5806
1008.62,1.301,2.3003,4.2474,5.278509629,0.614
1007.91,1.201,2.3017,4.2873,4.889528356,0.6539
1007.12,1.101,2.3037,4.3357,4.498489713,0.7023
1006.23,1.001,2.3066,4.3947,4.105206882,0.7613
1005.22,0.901,2.3105,4.4668,3.7094022,0.8334
1004.04,0.801,2.3156,4.5544,3.31078769,0.921
1002.64,0.701,2.3221,4.66,2.909229952,1.0266
1003.78,0.601,2.324,4.8082,2.504900822,1.1748
1005.84,0.501,2.3306,4.939,2.097731849,1.3056
1007.87,0.401,2.3379,5.1041,1.68699007,1.4707
1010.11,0.301,2.3464,5.3071,1.272669123,1.6737
1012.36,0.201,2.3566,5.5684,0.8542244,1.935
1013.55,0.101,2.3691,5.9517,0.43149101,2.3183
979.35,0.001,2.3733,7.7451,0.004300206,4.1117
