T (C),P (kbars),Mpa,rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1024,10,1000,2.362804164,3.896785875,37.14245378,0
1023.649813,9.9001,990.01,2.361737399,3.89910307,36.78519411,0.002317195
1023.317187,9.8002,980.02,2.360673463,3.901192508,36.42785784,0.004406633
1022.998122,9.7003,970.03,2.359613553,3.903055632,36.07045713,0.006269757
1022.677983,9.6004,960.04,2.358549859,3.904928739,35.71299773,0.008142864
1022.35765,9.5005,950.05,2.357481255,3.906803571,35.35548323,0.010017696
1022.035267,9.4006,940.06,2.356409756,3.908702277,34.99790087,0.011916402
1021.712202,9.3007,930.07,2.355333834,3.910608507,34.6400101,0.013822632
1021.388747,9.2008,920.08,2.354252808,3.912518363,34.28198986,0.015732488
1021.063633,9.1009,910.09,2.353168359,3.914447894,33.92387497,0.017662019
1020.739006,9.001,900.1,2.352077601,3.916371453,33.56566629,0.019585578
1020.412039,8.9011,890.11,2.350984266,3.918322996,33.20736439,0.021537121
1020.084096,8.8012,880.12,2.349886263,3.92028429,32.8489692,0.023498415
1019.754201,8.7013,870.13,2.348785518,3.922268461,32.49048065,0.025482586
1019.425185,8.6014,860.14,2.347677642,3.924238921,32.13189865,0.027453046
1019.093437,8.5015,850.15,2.346567751,3.926244407,31.77317608,0.029458532
1018.762177,8.4016,840.16,2.345451343,3.92824004,31.41431898,0.031454165
1018.428185,8.3017,830.17,2.344332376,3.930268726,31.05534781,0.033482851
1018.094095,8.2018,820.18,2.343208013,3.932291771,30.69626246,0.035505896
1017.757372,8.1019,810.19,2.342080717,3.934348613,30.33706318,0.037562738
1017.419575,8.002,800.2,2.34095089,3.936397673,29.97757021,0.039611798
1017.078169,7.9021,790.21,2.339822163,3.938455954,29.61748656,0.041670079
1016.731299,7.8022,780.22,2.338696041,3.940551716,29.25721633,0.043765841
1016.381308,7.7023,770.23,2.337567648,3.942680225,28.89680166,0.04589435
1016.031512,7.6024,760.24,2.336430209,3.944838756,28.53624238,0.048052881
1015.697032,7.5025,750.25,2.335251136,3.947014124,28.17553831,0.050228249
1015.352016,7.4026,740.26,2.334088976,3.949167254,27.81469491,0.052381379
1015.010902,7.3027,730.27,2.332912861,3.951297458,27.45371916,0.054511583
1014.665399,7.2028,720.28,2.331737579,3.953448079,27.09260567,0.056662204
1014.323992,7.1029,710.29,2.330546392,3.955604237,26.73134744,0.058818362
1013.977708,7.003,700.3,2.329357266,3.95777951,26.36993663,0.060993635
1013.622448,6.9031,690.31,2.328179251,3.959941525,26.00837263,0.06315565
