T (C),P (kbars),rho (g/cm3),vis (log 10 poise),Depth (km),delta log viscosity (poise)
1003.13,10.001,2.2961,2.5467,37.14245378,0
1002.5,9.901,2.2942,2.55,36.78519411,0.0033
1001.89,9.801,2.2923,2.5531,36.42785784,0.0064
1001.28,9.701,2.2904,2.5563,36.07045713,0.0096
1000.67,9.601,2.2885,2.5594,35.71299773,0.0127
1000.07,9.501,2.2866,2.5626,35.35548323,0.0159
999.46,9.401,2.2847,2.5657,34.99790087,0.019
998.85,9.301,2.2828,2.5689,34.6400101,0.0222
998.25,9.201,2.2809,2.572,34.28198986,0.0253
997.64,9.101,2.279,2.5752,33.92387497,0.0285
997.04,9.001,2.2771,2.5783,33.56566629,0.0316
996.43,8.901,2.2753,2.5827,33.20736439,0.036
995.81,8.801,2.2736,2.5889,32.8489692,0.0422
995.19,8.701,2.2719,2.5952,32.49048065,0.0485
994.58,8.601,2.2703,2.6014,32.13189865,0.0547
993.97,8.501,2.2686,2.6076,31.77317608,0.0609
993.36,8.401,2.2669,2.6138,31.41431898,0.0671
992.75,8.301,2.2653,2.62,31.05534781,0.0733
992.14,8.201,2.2636,2.6262,30.69626246,0.0795
991.53,8.101,2.262,2.6324,30.33706318,0.0857
990.93,8.001,2.2603,2.6386,29.97757021,0.0919
990.32,7.901,2.2586,2.6448,29.61748656,0.0981
989.72,7.801,2.257,2.6509,29.25721633,0.1042
989.12,7.701,2.2553,2.6571,28.89680166,0.1104
988.52,7.601,2.2537,2.6633,28.53624238,0.1166
987.92,7.501,2.252,2.6695,28.17553831,0.1228
987.33,7.401,2.2504,2.6758,27.81469491,0.1291
986.73,7.301,2.2488,2.682,27.45371916,0.1353
986.14,7.201,2.2471,2.6882,27.09260567,0.1415
985.54,7.101,2.2455,2.6944,26.73134744,0.1477
984.95,7.001,2.2439,2.7007,26.36993663,0.154
984.36,6.901,2.2422,2.7069,26.00837263,0.1602
983.77,6.801,2.2406,2.7132,25.64665392,0.1665
983.19,6.701,2.239,2.7195,25.28477722,0.1728
982.6,6.601,2.2373,2.7258,24.92273962,0.1791
982.01,6.501,2.2357,2.7321,24.56054217,0.1854
981.43,6.401,2.2341,2.7384,24.19818932,0.1917
980.85,6.301,2.2325,2.7448,23.83539377,0.1981
980.27,6.201,2.2309,2.7512,23.47203922,0.2045
979.69,6.101,2.2293,2.7576,23.10847978,0.2109
979.11,6.001,2.2277,2.7641,22.7447151,0.2174
978.53,5.901,2.2261,2.7705,22.38074499,0.2238
977.96,5.801,2.2245,2.7771,22.01657131,0.2304
977.38,5.701,2.2229,2.7836,21.65220047,0.2369
976.81,5.601,2.2214,2.7902,21.28763109,0.2435
976.23,5.501,2.2198,2.7968,20.9228612,0.2501
975.66,5.401,2.2182,2.8035,20.55789757,0.2568
975.09,5.301,2.2167,2.8102,20.19266805,0.2635
974.52,5.201,2.2151,2.817,19.82709759,0.2703
973.95,5.101,2.2136,2.8239,19.46119884,0.2772
973.39,5.001,2.212,2.8308,19.09490937,0.2841
972.82,4.901,2.2105,2.8378,18.72838478,0.2911
972.26,4.801,2.209,2.8449,18.36162428,0.2982
971.69,4.701,2.2075,2.8521,17.99462578,0.3054
971.13,4.601,2.206,2.8593,17.62738498,0.3126
970.57,4.501,2.2045,2.8667,17.2598752,0.32
970.01,4.401,2.2031,2.8742,16.89209311,0.3275
969.45,4.301,2.2016,2.8819,16.5240471,0.3352
968.89,4.201,2.2002,2.8896,16.15572797,0.3429
968.34,4.101,2.1988,2.8976,15.7871011,0.3509
967.78,4.001,2.1974,2.9058,15.41814572,0.3591
967.23,3.901,2.196,2.9142,15.04890253,0.3675
966.67,3.801,2.1947,2.9228,14.67931009,0.3761
966.12,3.701,2.1934,2.9317,14.30938347,0.385
965.57,3.601,2.1921,2.941,13.93912869,0.3943
965.02,3.501,2.1909,2.9508,13.56854881,0.4041
964.46,3.401,2.1898,2.961,13.1976451,0.4143
963.91,3.301,2.1887,2.9719,12.82641381,0.4252
963.36,3.201,2.1877,2.9837,12.45481982,0.437
966.29,3.101,2.1786,3.0045,12.08283227,0.4578
965.88,3.001,2.1776,3.0192,11.7104499,0.4725
965.39,2.901,2.1768,3.0365,11.33764139,0.4898
964.89,2.801,2.1763,3.057,10.96436421,0.5103
964.38,2.701,2.1763,3.0824,10.59045434,0.5357
963.86,2.601,2.177,3.1154,10.21593971,0.5687
963.33,2.501,2.1789,3.1595,9.840811396,0.6128
962.78,2.401,2.182,3.2158,9.465069146,0.6691
962.21,2.301,2.1861,3.282,9.088722831,0.7353
961.64,2.201,2.1906,3.3545,8.711773465,0.8078
961.08,2.101,2.1955,3.4312,8.334219546,0.8845
960.51,2.001,2.2006,3.5113,7.956048906,0.9646
959.95,1.901,2.2059,3.5952,7.577085837,1.0485
959.39,1.801,2.2114,3.6826,7.197192199,1.1359
958.82,1.701,2.2171,3.7737,6.816344948,1.227
958.26,1.601,2.2231,3.8689,6.434334626,1.3222
957.69,1.501,2.2292,3.9685,6.050809826,1.4218
957.11,1.401,2.2356,4.0732,5.665558941,1.5265
956.53,1.301,2.2423,4.1836,5.278509629,1.6369
