Unit,Type,temperature,pressure
Santo Tomas II,arc,840,313.47174
Clifton,arc,888,440.1032139
Bumolo,arc,865,310.3897393
Red Chris,arc,828,366.1301071
Red Chris,arc,927,634.4708086
Red Chris,arc,872,505.3132991
Red Chris,arc,866,524.7778428
Red Chris,arc,859,461.3758595
Red Chris,arc,914,614.6897307
Red Chris,arc,855,432.3457282
Red Chris,arc,839,489.9863236
Red Chris,arc,828,411.7511488
Red Chris,arc,846,542.0866606
Red Chris,arc,820,412.9497943
Red Chris,arc,837,422.4495865
Red Chris,arc,836,421.2355249
Red Chris,arc,840,419.9780724
Red Chris,arc,819,411.8335077
Red Chris,arc,828,449.2466965
Red Chris,arc,878,620.5871817
Red Chris,arc,855,563.1146659
Red Chris,arc,845,501.0754935
Red Chris,arc,837,421.4261922
Red Chris,arc,846,427.3415306
Red Chris,arc,839,402.6828706
Red Chris,arc,828,408.6564972
Red Chris,arc,841,428.6723773
Red Chris,arc,867,648.8960238
Red Chris,arc,878,539.2740349
Red Chris,arc,951,687.2958315
Red Chris,arc,834,375.0792048
Red Chris,arc,825,340.438271
Red Chris,arc,849,411.204152
Red Chris,arc,846,464.5022983
Red Chris,arc,836,424.13645
Red Chris,arc,839,390.3674631
Red Chris,arc,884,617.5139528
Red Chris,arc,854,506.9163854
Red Chris,arc,857,505.4603858
Red Chris,arc,838,412.20606
Red Chris,arc,853,390.1276209
Red Chris,arc,837,432.2485497
Red Chris,arc,871,346.6008936
Red Chris,arc,846,357.9174911
Red Chris,arc,886,537.7250982
Red Chris,arc,894,588.3534058
Red Chris,arc,843,421.6507821
Red Chris,arc,842,416.3618155
Red Chris,arc,858,466.4433901
Red Chris,arc,841,439.1307633
Red Chris,arc,845,402.1647863
Red Chris,arc,863,500.7820849
Red Chris,arc,847,397.3852307
Red Chris,arc,883,518.6893961
Duolong,arc,862,395.7487527
Duolong,arc,861,417.2142347
Duolong,arc,856,398.10531
Duolong,arc,869,401.7735782
Duolong,arc,837,255.039616
Duolong,arc,845,270.982671
Duolong,arc,840,282.6413822
Duolong,arc,861,370.2335105
Duolong,arc,855,334.9156366
Duolong,arc,858,411.0908699
Duolong,arc,830,306.6819698
Duolong,arc,861,393.0273892
Duolong,arc,852,348.3690756
Duolong,arc,835,315.52332
Duolong,arc,826,270.7887243
Duolong,arc,832,262.31654
Duolong,arc,840,278.4235932
Duolong,arc,826,270.8755168
Duolong,arc,842,296.3816762
Duolong,arc,839,330.6752321
Duolong,arc,838,344.9830245
Duolong,arc,828,340.6090737
Duolong,arc,822,276.0372981
Duolong,arc,833,261.9879052
Duolong,arc,805,220.8435282
Duolong,arc,823,262.1071284
Duolong,arc,818,262.3723229
Duolong,arc,827,263.2530213
Duolong,arc,805,277.2400736
Duolong,arc,801,179.8745259
Duolong,arc,806,176.3408437
Duolong,arc,825,272.1651249
Duolong,arc,834,291.0984029
Duolong,arc,805,179.6350737
Duolong,arc,838,366.2514798
Duolong,arc,831,307.7333599
Duolong,arc,815,275.818359
Duolong,arc,836,302.1484081
Duolong,arc,812,250.4202505
Duolong,arc,817,226.3306753
Duolong,arc,828,293.7040718
Duolong,arc,827,288.9933919
Duolong,arc,837,332.7215644
Duolong,arc,834,362.3618785
Duolong,arc,843,365.2701915
Duolong,arc,833,323.262668
Duolong,arc,832,337.1178128
Duolong,arc,875,425.4035769
Duolong,arc,860,407.9910435
Duolong,arc,856,397.6346937
Duolong,arc,871,426.6939284
Duolong,arc,874,417.154563
Duolong,arc,880,455.9742786
Duolong,arc,878,453.7095698
Duolong,arc,868,425.748339
Duolong,arc,847,369.311091
Duolong,arc,870,442.8922934
Duolong,arc,825,312.4271158
Duolong,arc,834,378.5824358
Duolong,arc,828,377.9489499
Duolong,arc,859,436.0115463
Duolong,arc,820,333.6556067
Duolong,arc,832,390.379965
Duolong,arc,838,385.4095847
Duolong,arc,844,391.2613852
Duolong,arc,812,257.8721787
Duolong,arc,866,409.2167512
Duolong,arc,886,427.1708309
Duolong,arc,873,425.886711
Duolong,arc,879,412.9657056
