,Unit,Type,Ti49_ppm
1,Agarak,arc,5.28
2,Agarak,arc,5.88
3,Agarak,arc,7.44
4,Agarak,arc,8.76
5,Agarak,arc,8.88
6,Agarak,arc,9.912
7,Agarak,arc,12.84
8,Agarak,arc,15
9,Atlas,arc,2.841
10,Atlas,arc,3.114
11,Atlas,arc,3.207
12,Atlas,arc,3.217
13,Atlas,arc,3.272
14,Atlas,arc,3.314
15,Atlas,arc,3.5
16,Atlas,arc,3.562
17,Atlas,arc,3.7
18,Atlas,arc,3.701
19,Atlas,arc,3.8
20,Atlas,arc,3.889
21,Atlas,arc,4.1
22,Atlas,arc,4.193
23,Atlas,arc,4.3
24,Atlas,arc,4.3
25,Atlas,arc,4.3
26,Atlas,arc,4.4
27,Atlas,arc,4.4
28,Atlas,arc,4.4
29,Atlas,arc,4.569
30,Atlas,arc,4.6
31,Atlas,arc,4.7
32,Atlas,arc,4.7
33,Atlas,arc,4.7
34,Atlas,arc,4.7
35,Atlas,arc,4.7
36,Atlas,arc,4.725
37,Atlas,arc,4.833
38,Atlas,arc,4.88
39,Atlas,arc,4.9
40,Atlas,arc,4.9
41,Atlas,arc,5
42,Atlas,arc,5
43,Atlas,arc,5.1
44,Atlas,arc,5.1
45,Atlas,arc,5.148
46,Atlas,arc,5.2
47,Atlas,arc,5.271
48,Atlas,arc,5.291
49,Atlas,arc,5.3
50,Atlas,arc,5.427
51,Atlas,arc,5.479
52,Atlas,arc,5.5
53,Atlas,arc,5.557
54,Atlas,arc,5.6
55,Atlas,arc,5.7
56,Atlas,arc,5.7
57,Atlas,arc,5.7
58,Atlas,arc,5.7
59,Atlas,arc,5.7
60,Atlas,arc,5.9
61,Atlas,arc,6.1
62,Atlas,arc,6.2
63,Atlas,arc,6.2
64,Atlas,arc,6.2
65,Atlas,arc,6.3
66,Atlas,arc,6.4
67,Atlas,arc,6.7
68,Atlas,arc,6.9
69,Atlas,arc,7.2
70,Atlas,arc,7.7
71,Atlas,arc,8
72,Atlas,arc,8.2
73,Atlas,arc,8.7
74,Atlas,arc,8.9
75,Bajo de la Alumbrera,arc,1.81
76,Bajo de la Alumbrera,arc,1.84
77,Bajo de la Alumbrera,arc,1.98
78,Bajo de la Alumbrera,arc,2.06
79,Bajo de la Alumbrera,arc,2.06
80,Bajo de la Alumbrera,arc,2.22
81,Bajo de la Alumbrera,arc,2.3
82,Bajo de la Alumbrera,arc,2.4
83,Bajo de la Alumbrera,arc,2.43
84,Bajo de la Alumbrera,arc,2.44
85,Bajo de la Alumbrera,arc,2.45
86,Bajo de la Alumbrera,arc,2.48
87,Bajo de la Alumbrera,arc,2.52
88,Bajo de la Alumbrera,arc,2.6
89,Bajo de la Alumbrera,arc,2.69
90,Bajo de la Alumbrera,arc,2.71
91,Bajo de la Alumbrera,arc,2.72
92,Bajo de la Alumbrera,arc,2.74
93,Bajo de la Alumbrera,arc,2.75
94,Bajo de la Alumbrera,arc,2.76
95,Bajo de la Alumbrera,arc,2.76
96,Bajo de la Alumbrera,arc,2.77
97,Bajo de la Alumbrera,arc,2.8
98,Bajo de la Alumbrera,arc,2.8
99,Bajo de la Alumbrera,arc,2.83
100,Bajo de la Alumbrera,arc,2.83
101,Bajo de la Alumbrera,arc,2.87
102,Bajo de la Alumbrera,arc,2.88
103,Bajo de la Alumbrera,arc,2.88
104,Bajo de la Alumbrera,arc,2.96
105,Bajo de la Alumbrera,arc,2.96
106,Bajo de la Alumbrera,arc,2.96
107,Bajo de la Alumbrera,arc,2.97
108,Bajo de la Alumbrera,arc,2.97
109,Bajo de la Alumbrera,arc,3.01
110,Bajo de la Alumbrera,arc,3.01
111,Bajo de la Alumbrera,arc,3.02
112,Bajo de la Alumbrera,arc,3.04
113,Bajo de la Alumbrera,arc,3.06
114,Bajo de la Alumbrera,arc,3.07
115,Bajo de la Alumbrera,arc,3.08
116,Bajo de la Alumbrera,arc,3.09
117,Bajo de la Alumbrera,arc,3.13
118,Bajo de la Alumbrera,arc,3.13
119,Bajo de la Alumbrera,arc,3.14
120,Bajo de la Alumbrera,arc,3.16
121,Bajo de la Alumbrera,arc,3.16
122,Bajo de la Alumbrera,arc,3.17
123,Bajo de la Alumbrera,arc,3.17
124,Bajo de la Alumbrera,arc,3.18
125,Bajo de la Alumbrera,arc,3.19
126,Bajo de la Alumbrera,arc,3.19
127,Bajo de la Alumbrera,arc,3.19
128,Bajo de la Alumbrera,arc,3.21
129,Bajo de la Alumbrera,arc,3.22
130,Bajo de la Alumbrera,arc,3.22
131,Bajo de la Alumbrera,arc,3.22
132,Bajo de la Alumbrera,arc,3.23
133,Bajo de la Alumbrera,arc,3.23
134,Bajo de la Alumbrera,arc,3.24
135,Bajo de la Alumbrera,arc,3.25
136,Bajo de la Alumbrera,arc,3.26
137,Bajo de la Alumbrera,arc,3.26
138,Bajo de la Alumbrera,arc,3.27
139,Bajo de la Alumbrera,arc,3.27
140,Bajo de la Alumbrera,arc,3.27
141,Bajo de la Alumbrera,arc,3.28
142,Bajo de la Alumbrera,arc,3.28
143,Bajo de la Alumbrera,arc,3.29
144,Bajo de la Alumbrera,arc,3.29
145,Bajo de la Alumbrera,arc,3.29
146,Bajo de la Alumbrera,arc,3.3
147,Bajo de la Alumbrera,arc,3.3
148,Bajo de la Alumbrera,arc,3.31
149,Bajo de la Alumbrera,arc,3.33
150,Bajo de la Alumbrera,arc,3.33
151,Bajo de la Alumbrera,arc,3.33
152,Bajo de la Alumbrera,arc,3.33
153,Bajo de la Alumbrera,arc,3.34
154,Bajo de la Alumbrera,arc,3.34
155,Bajo de la Alumbrera,arc,3.34
156,Bajo de la Alumbrera,arc,3.34
157,Bajo de la Alumbrera,arc,3.34
158,Bajo de la Alumbrera,arc,3.35
159,Bajo de la Alumbrera,arc,3.36
160,Bajo de la Alumbrera,arc,3.37
161,Bajo de la Alumbrera,arc,3.37
162,Bajo de la Alumbrera,arc,3.38
163,Bajo de la Alumbrera,arc,3.39
164,Bajo de la Alumbrera,arc,3.4
165,Bajo de la Alumbrera,arc,3.4
166,Bajo de la Alumbrera,arc,3.41
167,Bajo de la Alumbrera,arc,3.42
168,Bajo de la Alumbrera,arc,3.43
169,Bajo de la Alumbrera,arc,3.43
170,Bajo de la Alumbrera,arc,3.44
171,Bajo de la Alumbrera,arc,3.44
172,Bajo de la Alumbrera,arc,3.44
173,Bajo de la Alumbrera,arc,3.45
174,Bajo de la Alumbrera,arc,3.47
175,Bajo de la Alumbrera,arc,3.48
176,Bajo de la Alumbrera,arc,3.48
177,Bajo de la Alumbrera,arc,3.49
178,Bajo de la Alumbrera,arc,3.49
179,Bajo de la Alumbrera,arc,3.51
180,Bajo de la Alumbrera,arc,3.52
181,Bajo de la Alumbrera,arc,3.52
182,Bajo de la Alumbrera,arc,3.52
183,Bajo de la Alumbrera,arc,3.52
184,Bajo de la Alumbrera,arc,3.53
185,Bajo de la Alumbrera,arc,3.54
186,Bajo de la Alumbrera,arc,3.54
187,Bajo de la Alumbrera,arc,3.54
188,Bajo de la Alumbrera,arc,3.55
189,Bajo de la Alumbrera,arc,3.56
190,Bajo de la Alumbrera,arc,3.58
191,Bajo de la Alumbrera,arc,3.59
192,Bajo de la Alumbrera,arc,3.59
193,Bajo de la Alumbrera,arc,3.59
194,Bajo de la Alumbrera,arc,3.59
195,Bajo de la Alumbrera,arc,3.6
196,Bajo de la Alumbrera,arc,3.61
197,Bajo de la Alumbrera,arc,3.62
198,Bajo de la Alumbrera,arc,3.63
199,Bajo de la Alumbrera,arc,3.66
200,Bajo de la Alumbrera,arc,3.66
201,Bajo de la Alumbrera,arc,3.67
202,Bajo de la Alumbrera,arc,3.68
203,Bajo de la Alumbrera,arc,3.68
204,Bajo de la Alumbrera,arc,3.69
